Eye_starts_closing,Eye_open,Blink_type
98,108,H
138,147,H
183,193,F
233,242,H
248,254,H
314,324,H
338,340,H
358,368,H
444,452,H
500,511,H
542,551,H
688,700,H
855,864,H
909,923,F
997,1010,H
1068,1084,H
1100,1112,H
1158,1167,H
1285,1296,H
1315,1327,H
1377,1384,H
1408,1417,H
1441,1453,H
1588,1600,H
1609,1626,H
1663,1679,H
1767,1783,H
1959,1974,H
2042,2057,H
2080,2089,H
2219,2230,H
2333,2344,H
2347,2363,F
2368,2380,F
2399,2412,F
2459,2470,H
2547,2561,H
2713,2729,H
2732,2746,H
2780,2791,H
2818,2828,H
2905,2914,H
2928,2938,H
3033,3044,H
3077,3091,F
3103,3113,H
3122,3132,H
3308,3316,H
3328,3336,H
3410,3421,H
3548,3559,H
3570,3579,H
3600,3614,H
3626,3636,H
3658,3666,H
3694,3702,H
3727,3742,F
3808,3819,H
3906,3918,F
3927,3938,H
3998,4008,H
4062,4077,H
4099,4114,H
4145,4160,H
4555,4566,H
4571,4584,H
4647,4662,H
5009,5020,H
5103,5121,H
5206,5225,H
5360,5374,H
5475,5489,H
5534,5548,H
5624,5639,F
5648,5662,F
5684,5700,H
5741,5761,H
5838,5853,H
5894,5907,H
6047,6060,H
6104,6117,H
6124,6136,H
6302,6314,H
6455,6490,H
7304,7320,F
7524,7541,F
7586,7608,H
7681,7701,F
7816,7832,H
8005,8027,F
8073,8091,F
8173,8188,H
8204,8219,H
8439,8454,H
8666,8682,H
8972,8990,F
9008,9033,H
9463,9480,F
9603,9616,H
9703,9716,F
9804,9818,H
9860,9874,F
9910,9922,F
9931,9943,F
9958,9968,F
10054,10066,H
10271,10283,H
10310,10326,F
10330,10340,H
10498,10513,F
10675,10687,H
10741,10771,H
10796,10808,H
10847,10866,H
10883,10896,H
10904,10929,F
10982,11001,H
11070,11093,H
11461,11482,F
11495,11517,F
11544,11555,H
11572,11583,F
