Eye_starts_closing,Eye_open,Blink_type
88,96,F
99,105,H
138,147,H
176,184,F
237,245,F
254,261,H
337,346,H
567,575,H
617,627,F
645,653,H
789,799,H
874,889,H
946,953,H
987,998,F
1039,1049,H
1077,1090,F
1172,1182,F
1197,1217,F
1223,1237,F
1274,1281,H
1291,1305,H
1333,1345,F
1366,1382,F
1386,1400,F
1499,1505,F
1550,1563,F
1628,1643,F
1647,1660,F
1712,1725,H
1732,1743,F
1754,1764,H
1774,1783,H
1814,1829,F
1836,1855,F
1863,1878,F
1883,1908,H
1920,1929,F
1942,1954,F
1958,1965,H
1969,1981,F
1989,2000,H
2046,2063,F
2069,2089,F
2092,2113,F
2117,2137,F
2206,2219,H
2265,2272,H
2282,2296,F
2304,2313,H
2326,2336,F
2507,2517,H
2580,2588,H
2602,2613,H
2620,2626,H
2673,2681,H
2741,2749,H
2829,2845,F
2848,2863,F
2938,2948,F
3056,3066,H
3094,3107,H
3118,3128,F
3137,3151,H
3165,3187,F
3302,3312,H
3321,3332,F
3409,3424,F
3432,3447,F
3452,3463,F
3487,3503,H
3506,3527,F
3600,3619,F
3626,3640,F
3672,3693,F
3724,3737,F
3756,3768,F
3863,3874,F
3889,3901,F
3925,3940,F
3942,3955,F
3961,3974,F
3987,4000,F
4006,4034,F
4036,4044,H
4158,4171,F
4184,4199,H
4211,4229,F
4234,4248,F
4256,4266,F
4405,4411,H
4502,4512,F
4644,4653,H
4656,4665,H
4706,4714,H
4734,4743,H
4750,4763,H
4779,4798,F
4805,4817,H
4896,4908,H
5008,5021,F
5034,5050,F
5060,5073,F
5150,5163,F
5169,5182,F
5187,5197,F
5274,5289,F
5380,5398,F
5431,5443,F
5479,5492,F
5522,5537,F
5652,5665,H
5721,5742,H
5781,5792,F
5833,5850,F
5896,5911,F
5986,6002,F
6008,6018,F
6024,6039,F
6059,6069,H
6081,6092,H
6110,6120,H
6141,6150,H
6249,6259,F
6362,6375,H
6515,6531,F
6573,6585,H
6929,6935,H
7143,7153,H
7181,7187,H
7342,7349,H
7377,7387,F
7492,7502,H
7532,7543,F
7556,7570,F
7614,7624,H
7640,7646,H
7666,7676,F
7681,7688,H
7775,7784,F
8015,8023,F
8142,8148,H
8233,8246,F
8249,8261,F
8295,8306,H
8341,8350,H
8355,8362,H
8396,8405,H
8423,8429,H
8440,8449,H
8496,8508,H
8596,8602,H
8612,8621,F
8631,8641,H
8661,8669,H
8711,8719,F
8732,8740,H
8747,8756,F
9056,9062,H
9265,9276,F
9373,9379,H
