,file_name,frame_rate,frame_count,duration_seconds,video_id,horse_id,file_extension
1,data/raw_video\G-003.mov,30,6726,224.2,G-003,G,.mov
2,data/raw_video\G-004.mp4,60,1312,21.87,G-004,G,.mp4
3,data/raw_video\G-005.mp4,60,1301,21.68,G-005,G,.mp4
4,data/raw_video\M-001.mov,30,11635,387.83,M-001,M,.mov
5,data/raw_video\M-002.mp4,23.98,597,24.9,M-002,M,.mp4
6,data/raw_video\M-003.mp4,23.98,442,18.44,M-003,M,.mp4
7,data/raw_video\M-004.mp4,59.94,2369,39.52,M-004,M,.mp4
8,data/raw_video\M-005.mp4,59.94,2465,41.12,M-005,M,.mp4
9,data/raw_video\M-006.mp4,59.93,1841,30.72,M-006,M,.mp4
10,data/raw_video\M-007.mp4,60,1551,25.85,M-007,M,.mp4
11,data/raw_video\M-008.mp4,23.98,1416,59.06,M-008,M,.mp4
12,data/raw_video\P-001.mov,30,9429,314.3,P-001,P,.mov
13,data/raw_video\P-002.mp4,23.98,1554,64.81,P-002,P,.mp4
14,data/raw_video\P-003.mp4,59.96,1498,24.98,P-003,P,.mp4
15,data/raw_video\P-004.mp4,59.94,764,12.75,P-004,P,.mp4
16,data/raw_video\P-005.mp4,59.94,2644,44.11,P-005,P,.mp4
17,data/raw_video\P-006.mp4,59.94,2693,44.93,P-006,P,.mp4
18,data/raw_video\P-007.mp4,59.94,4023,67.12,P-007,P,.mp4
19,data/raw_video\Y-001.mp4,23.98,482,20.1,Y-001,Y,.mp4
20,data/raw_video\Y-002.mp4,23.98,586,24.44,Y-002,Y,.mp4
21,data/raw_video\Y-003.mp4,60,1516,25.27,Y-003,Y,.mp4
22,data/raw_video\Y-004.mp4,59.94,4541,75.76,Y-004,Y,.mp4
